geneNames,pVal,pAdj,log2FC
ENSG00000237683,0.750075976637245,0.873082034988083,0.00317970462425132
ENSG00000187634,0.0500013694156013,0.173438471753962,1.88214535170819
ENSG00000188976,0.0881994583531436,0.245883260309939,0.0432432119210978
ENSG00000187961,0.568150893469549,0.73894270920343,0.622076957870205
ENSG00000188290,0.343677627185782,0.550794129935298,0.602577144293964
ENSG00000187608,0.000359379248360998,0.00543570023202789,0.477969621344681
ENSG00000188157,0.0155385488828185,0.0838433114847675,0.380657521358153
ENSG00000237330,0.587669300330107,0.753260620585004,0.715027868562506
ENSG00000131591,0.361511086663828,0.566851264400179,0.638966290394846
ENSG00000162571,0.380199798603211,0.58422074614883,0.576798231476256
ENSG00000186891,0.908775682536868,0.967256087335531,0.789111526175672
ENSG00000186827,NaN,NaN,3.26396123677391
ENSG00000078808,0.00576208263849251,0.0426253642535271,0.78389440096022
ENSG00000176022,0.0140518918238451,0.0785005039903489,0.0955038455116286
ENSG00000184163,0.226247602175464,0.431050581348303,1.05181604805965
ENSG00000160087,0.132076040126354,0.316186640624974,0.435478996073507
ENSG00000162572,0.964594167049249,0.99622785440794,0.503832091034669
ENSG00000131584,0.202415405241015,0.406432647729327,0.74287802528038
ENSG00000169972,0.335914174950859,0.54329389270721,0.0741636227195576
ENSG00000127054,0.00445237281791907,0.0357163145368302,0.542960944267655
ENSG00000224051,0.361799553347537,0.566878856389993,0.514473491394967
ENSG00000169962,0.691924954633903,0.833649932165802,0.786114973074366
ENSG00000107404,0.423907166794139,0.619967669371093,0.339343528435976
ENSG00000162576,0.586178107532825,0.752159417643363,0.204003189211952
ENSG00000175756,0.466954130120334,0.65597392851399,0.0186513454840048
ENSG00000221978,0.239628040249135,0.446368786077305,0.100510171557686
ENSG00000224870,0.760511353559442,0.879548654049951,0.0449454767658884
ENSG00000242485,0.77589478230699,0.8894183632417,0.122668656627826
ENSG00000235098,0.755196809575818,0.876527453251885,0.409703645450245
ENSG00000179403,0.514262517734155,0.693907814899302,0.254707269312741
ENSG00000215915,0.926840129834661,0.977319594270323,0.362944493142716
ENSG00000160072,0.000809786567737984,0.0102384793688603,1.02731520370206
ENSG00000197785,0.225351877716333,0.429960457907237,0.486640658897582
ENSG00000205090,0.34278911672194,0.549977348834511,1.00526154606451
ENSG00000160075,0.029944822613269,0.127792633028666,0.0471051702355356
ENSG00000215014,0.000902473619875788,0.0110645930443046,1.89365079851764
ENSG00000228594,0.034322418738783,0.13833293621437,0.234282296218156
ENSG00000197530,0.774588314991297,0.888566268429493,0.29859742588198
ENSG00000189409,0.888849774678655,0.956340483598306,0.61334641621445
ENSG00000248333,0.127683245989367,0.310146850133346,0.0525582348615543
ENSG00000189339,0.00260679028987986,0.0243676208436103,0.286345459453054
ENSG00000008128,0.108538318348803,0.279825573426305,0.454299613189058
ENSG00000215790,0.000909124028372424,0.0110858331094965,1.09695135614181
ENSG00000008130,0.257648354537196,0.465010239470594,0.277750678217494
ENSG00000078369,0.357222482912249,0.562958873644142,0.0952631859307281
ENSG00000178821,0.0677246873937117,0.208961251933003,0.356391081540904
ENSG00000142609,0.822838106689383,0.91893003648183,0.25879949125898
ENSG00000187730,1,1,0.0320910432433644
ENSG00000067606,0.134290199944271,0.319795512363515,0.543460127418704
ENSG00000162585,0.156491588642417,0.350252592509036,0.25103815790548
ENSG00000203301,0.605787315442521,0.767152331490171,0.496052813726347
ENSG00000157933,0.00310309339393172,0.0277323809474487,0.343887577096041
ENSG00000116151,0.17984761248156,0.379769788520451,0.603659660090602
ENSG00000157916,0.141928349593223,0.330600447037418,0.202447750717509
ENSG00000157911,0.19796300593674,0.401935126758395,0.0810453202810043
